county_FIPS,state,county,per_capita_personal_income_2019,per_capita_personal_income_2020,per_capita_personal_income_2021,associate_degree_numbers_2016_2020,bachelor_degree_numbers_2016_2020,associate_degree_percentage_2016_2020,bachelor_degree_percentage_2015_2019,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,AGE18PLUS_TOT,AGE65PLUS_TOT,MEDIAN_AGE_TOT
27061,MN,"Itasca, MN",45393,48240,51563,12705,8071,38.79,24.64,45022.0,22911.0,22111.0,2296.0,4673.0,2289.0,35764.0,10974.0,46.8
36101,NY,"Steuben, NY",47475,51050,54238,21144,16733,31.12,24.63,93576.0,46889.0,46687.0,5153.0,10337.0,4879.0,73207.0,18547.0,42.9
39099,OH,"Mahoning, OH",44241,47903,50968,47920,40285,29.3,24.63,228613.0,112220.0,116393.0,12258.0,23018.0,11356.0,181981.0,49347.0,43.6
12101,FL,"Pasco, FL",43822,46696,50479,122661,96665,31.26,24.63,561890.0,274739.0,287151.0,28150.0,59419.0,26913.0,447408.0,124613.0,44.1
47009,TN,"Blount, TN",45860,49002,52596,27898,23328,29.44,24.62,135284.0,66304.0,68980.0,6622.0,13864.0,6696.0,108102.0,27606.0,43.8
46087,SD,"McCook, SD",53326,59210,67402,1087,895,29.86,24.59,5683.0,2894.0,2789.0,465.0,787.0,346.0,4085.0,1038.0,39.2
31171,NE,"Thomas, NE",57707,59914,61324,217,106,50.35,24.59,672.0,343.0,329.0,34.0,93.0,35.0,510.0,181.0,45.3
05115,AR,"Pope, AR",36057,37465,40937,10829,10078,26.42,24.59,63381.0,31575.0,31806.0,3954.0,7473.0,3284.0,48670.0,10171.0,36.5
31081,NE,"Hamilton, NE",53781,60279,65739,2642,1563,41.53,24.57,9426.0,4795.0,4631.0,610.0,1127.0,560.0,7129.0,1886.0,41.3
08085,CO,"Montrose, CO",43187,46747,50789,9722,7443,32.08,24.56,42678.0,21130.0,21548.0,2155.0,4767.0,2113.0,33643.0,10398.0,45.3
20087,KS,"Jefferson, KS",46591,49792,52892,4066,3274,30.46,24.53,18362.0,9399.0,8963.0,977.0,2115.0,1118.0,14152.0,3521.0,43.3
06063,CA,"Plumas, CA",50296,54185,57193,6703,3566,46.08,24.52,19800.0,9963.0,9837.0,943.0,1769.0,828.0,16260.0,5855.0,52.6
10001,DE,"Kent, DE",44490,46542,50432,36205,29454,30.14,24.52,181844.0,87972.0,93872.0,11106.0,21363.0,9609.0,139766.0,31753.0,38.2
38089,ND,"Stark, ND",63393,61563,62553,7088,4953,35.06,24.5,33650.0,17563.0,16087.0,2901.0,4690.0,1808.0,24251.0,4345.0,33.4
30005,MT,"Blaine, MT",28752,32137,34095,1544,1017,37.2,24.5,7040.0,3538.0,3502.0,563.0,1096.0,464.0,4917.0,1102.0,34.4
51113,VA,"Madison, VA",48543,51692,55148,2814,2368,29.11,24.49,13840.0,6735.0,7105.0,707.0,1408.0,663.0,11062.0,3079.0,46.2
47163,TN,"Sullivan, TN",44125,47021,50418,33234,28220,28.84,24.49,158161.0,77591.0,80570.0,7506.0,15575.0,7526.0,127554.0,34369.0,45.1
12005,FL,"Bay, FL",46452,50394,53980,47259,31305,36.96,24.48,175210.0,87304.0,87906.0,9726.0,18684.0,8266.0,138534.0,31792.0,41.7
36123,NY,"Yates, NY",42576,46399,48934,4531,4072,27.24,24.48,24766.0,12148.0,12618.0,1591.0,2767.0,1249.0,19159.0,5213.0,41.1
08003,CO,"Alamosa, CO",38025,41152,44507,3365,2385,34.54,24.48,16377.0,8097.0,8280.0,1002.0,2099.0,854.0,12422.0,2425.0,32.2
31139,NE,"Pierce, NE",57035,62386,68647,1797,1196,36.76,24.47,7318.0,3722.0,3596.0,471.0,957.0,452.0,5438.0,1415.0,40.6
30045,MT,"Judith Basin, MT",48136,52026,48352,643,361,43.56,24.46,2019.0,1043.0,976.0,116.0,209.0,97.0,1597.0,525.0,49.0
12127,FL,"Volusia, FL",46612,48620,52964,141238,99126,34.83,24.44,553544.0,271435.0,282109.0,25275.0,49663.0,22636.0,455970.0,137118.0,47.1
48347,TX,"Nacogdoches, TX",39665,42073,46246,11460,9205,30.42,24.44,64669.0,31203.0,33466.0,4023.0,7887.0,3357.0,49402.0,9822.0,31.9
36019,NY,"Clinton, NY",44979,48408,50625,15075,13483,27.31,24.42,79843.0,41110.0,38733.0,3799.0,7511.0,3312.0,65221.0,14160.0,40.7
26043,MI,"Dickinson, MI",46741,50975,55335,6922,4555,37.1,24.41,25955.0,13181.0,12774.0,1354.0,2590.0,1270.0,20741.0,5899.0,46.4
27067,MN,"Kandiyohi, MN",52094,55811,58345,11374,7041,39.41,24.39,43724.0,22124.0,21600.0,2909.0,5454.0,2520.0,32841.0,8347.0,39.4
01097,AL,"Mobile, AL",39453,42837,46418,82191,68237,29.38,24.39,414810.0,198600.0,216210.0,26948.0,48977.0,21814.0,317071.0,68388.0,38.0
27157,MN,"Wabasha, MN",50078,55622,58382,5672,3785,36.54,24.38,21375.0,10768.0,10607.0,1207.0,2420.0,1106.0,16642.0,4776.0,45.2
12069,FL,"Lake, FL",43878,45880,49831,88511,64413,33.51,24.38,383964.0,186832.0,197132.0,18514.0,37862.0,17237.0,310351.0,102211.0,47.1
21059,KY,"Daviess, KY",42708,46394,50079,22247,16567,32.72,24.37,103315.0,50817.0,52498.0,6886.0,13056.0,5732.0,77641.0,17438.0,38.4
40131,OK,"Rogers, OK",47480,49464,52142,22023,15199,35.27,24.34,95245.0,47740.0,47505.0,5502.0,11401.0,5318.0,73024.0,15682.0,39.3
13009,GA,"Baldwin, GA",34954,37833,40542,8316,6847,29.56,24.34,43791.0,22185.0,21606.0,2003.0,4270.0,2004.0,35514.0,7316.0,36.3
18085,IN,"Kosciusko, IN",48562,51892,55625,14980,12882,28.3,24.33,80250.0,40254.0,39996.0,5102.0,9663.0,4486.0,60999.0,13744.0,38.5
42037,PA,"Columbia, PA",43624,47565,50176,10400,10654,23.75,24.33,64722.0,31458.0,33264.0,2724.0,5934.0,2878.0,53186.0,12720.0,40.9
35021,NM,"Harding, NM",40555,46965,49695,132,80,40.12,24.32,654.0,341.0,313.0,19.0,46.0,10.0,579.0,274.0,60.4
48273,TX,"Kleberg, TX",40550,42083,45818,4592,4136,26.98,24.3,31040.0,15824.0,15216.0,2026.0,3816.0,1641.0,23557.0,4181.0,28.6
37059,NC,"Davie, NC",50977,53558,57591,10141,7397,33.3,24.29,42709.0,20928.0,21781.0,2109.0,4645.0,2286.0,33669.0,9118.0,45.3
20041,KS,"Dickinson, KS",42596,46708,49255,4777,3168,36.62,24.29,18393.0,9271.0,9122.0,949.0,2233.0,1070.0,14141.0,3697.0,42.2
20163,KS,"Rooks, KS",39050,45289,49795,1267,857,35.9,24.28,4911.0,2472.0,2439.0,302.0,544.0,249.0,3816.0,1095.0,43.5
17083,IL,"Jersey, IL",43093,47107,50874,4951,3675,32.68,24.25,21513.0,10579.0,10934.0,1087.0,2194.0,1154.0,17078.0,4191.0,43.1
30073,MT,"Pondera, MT",49912,56521,52704,1571,975,39.04,24.23,5902.0,2935.0,2967.0,390.0,685.0,322.0,4505.0,1258.0,42.3
31089,NE,"Holt, NE",52409,59866,66231,2639,1684,37.96,24.22,10128.0,5134.0,4994.0,686.0,1342.0,562.0,7538.0,2235.0,42.6
31017,NE,"Brown, NE",56927,63013,63598,736,513,34.73,24.21,2902.0,1467.0,1435.0,161.0,305.0,188.0,2248.0,731.0,46.0
50019,VT,"Orleans, VT",45632,49879,51960,5333,4758,27.13,24.2,27396.0,13795.0,13601.0,1332.0,2772.0,1306.0,21986.0,6227.0,45.4
13211,GA,"Morgan, GA",51582,53835,57857,3727,3227,27.93,24.18,20100.0,9708.0,10392.0,1179.0,2268.0,1106.0,15547.0,4052.0,42.8
17007,IL,"Boone, IL",47814,50785,54496,10609,8489,30.22,24.18,53446.0,26890.0,26556.0,2897.0,6648.0,3589.0,40312.0,8497.0,39.6
02230,AK,"Skagway Municipality, AK",77402,59045,71409,357,254,33.97,24.17,1242.0,653.0,589.0,51.0,99.0,30.0,1062.0,192.0,41.0
45041,SC,"Florence, SC",44609,47692,51554,27416,22629,29.29,24.17,137046.0,64396.0,72650.0,8070.0,16763.0,7671.0,104542.0,23746.0,39.3
41061,OR,"Union, OR",42107,46076,50053,6328,4275,35.78,24.17,26195.0,13128.0,13067.0,1402.0,3116.0,1373.0,20304.0,5389.0,39.2
45051,SC,"Horry, SC",41360,44241,46817,88085,62135,34.24,24.16,351038.0,170111.0,180927.0,15333.0,31947.0,14665.0,289093.0,87264.0,47.5
55021,WI,"Columbia, WI",52934,56566,60708,14929,9869,36.54,24.15,58476.0,29938.0,28538.0,3047.0,6192.0,3146.0,46091.0,10809.0,42.6
27055,MN,"Houston, MN",51628,55330,59140,4690,3226,35.07,24.13,18817.0,9508.0,9309.0,1056.0,2115.0,1012.0,14634.0,4091.0,44.4
38093,ND,"Stutsman, ND",52206,59353,61388,4633,3478,32.13,24.12,21601.0,11063.0,10538.0,1145.0,2233.0,1012.0,17211.0,4210.0,41.1
41047,OR,"Marion, OR",44921,49022,53791,80144,54873,35.23,24.12,345905.0,173350.0,172555.0,21743.0,43280.0,19388.0,261494.0,55087.0,36.9
13275,GA,"Thomas, GA",44358,48175,52349,9432,7350,30.95,24.12,45800.0,21876.0,23924.0,2822.0,5644.0,2540.0,34794.0,8414.0,40.1
38033,ND,"Golden Valley, ND",39094,44263,52279,553,320,41.67,24.11,1729.0,879.0,850.0,89.0,156.0,99.0,1385.0,442.0,46.4
16069,ID,"Nez Perce, ID",44537,48279,50993,10694,6819,37.82,24.11,42091.0,20865.0,21226.0,2365.0,4579.0,2078.0,33069.0,8535.0,41.0
